procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 826880 317488 141716 5487180    5    7   249   708    5    5  2  1 81 16  0
 1 15 826524 296544 141668 5446036  412    4 10620 20724 8735 34969  7  2 54 37  0
 1 15 826500 289548 141668 5446704   76    0 11084 21406 5420 19417  3  1 62 35  0
 0 16 826452 288264 141668 5446708   64    0 10464 20869 5844 17781  3  1 60 36  0
 0 16 826424 287044 141668 5446720   32    0 11600 21028 6170 19338  3  1 61 35  0
 1 15 826396 288672 141676 5446712   44    0 10380 20819 5633 17765  2  1 65 32  0
 0 16 826364 287480 141680 5446740   76    0 10956 20505 5282 17919  3  1 64 32  0
 3 14 826312 285660 141680 5446500   76    0 10908 21080 5019 18975  3  1 65 32  0
 1 15 826280 284044 141680 5446544   52    0 10260 21084 4996 17425  2  1 64 32  0
 1 15 826240 284828 141680 5446620   48    0  9728 20997 4669 17669  2  1 66 30  0
 0 16 826196 284248 141688 5446688   60    0 10380 20698 4911 17214  3  1 66 31  0
 1 16 826176 283620 141688 5446564   32    0 10224 20777 5301 17613  2  1 62 35  0
 3 14 826156 282288 141688 5446596   32    0  9120 21281 6479 16206  2  1 62 34  0
 3 14 826136 282252 141688 5446580   28    0  9500 20862 6180 16827  2  1 63 33  0
 1 15 826128 280848 141688 5446636    0    0  8240 20910 4662 15325  2  1 60 37  0
 1 15 826120 280736 141688 5446580   56    0  9528 20807 4352 16291  2  1 62 35  0
 1 15 826064 281332 141696 5446616   88    0 10584 20707 4442 18631  3  1 64 32  0
 1 15 826044 279752 141696 5446652   28    0 10428 21322 5405 18319  2  1 61 35  0
 2 14 826004 281272 141696 5446652   48    0 10016 21114 5273 18372  3  1 63 33  0
 1 15 825984 279888 141696 5446676   12    0  9532 20980 4768 17522  3  1 61 35  0
 1 15 825964 280796 141696 5446660   32    0  9232 20739 4230 16584  2  1 66 31  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 14 825944 279656 141704 5446632   28    0  8988 20814 4641 16615  2  1 62 34  0
 1 15 825908 280404 141704 5446664   64    0  9216 21352 4772 16453  2  1 66 31  0
 0 16 825872 280304 141704 5446708   72    0  9560 21021 5937 17303  3  1 65 32  0
 1 15 825852 280832 141704 5446680   72    0  9512 21027 4749 16624  2  1 64 33  0
 0 16 825832 280756 141704 5446664   16    0  8688 20645 3971 15752  2  1 63 34  0
 2 15 825816 280432 141712 5446572   28    0  8748 20622 4295 15893  2  1 62 34  0
 0 16 825796 279976 141712 5446588   64    0  8960 21247 5367 16479  2  1 61 35  0
 3 14 825768 279556 141712 5446592   52    0  9428 20798 5268 15564  2  1 64 33  0
 0 16 825744 279360 141712 5446596   64    0  8064 20896 4959 14922  2  1 68 29  0
 0 17 825728 279912 141716 5446648    8    0  8988 20687 4874 15694  2  1 67 30  0
 2 14 825708 280000 141724 5446704   44    0  9724 20740 4996 16859  2  1 68 29  0
 0 16 825676 279404 141724 5446768   24    0  9640 21134 4687 16927  3  1 68 28  0
 0 16 825620 277144 141724 5446824   52    0  9988 20972 5286 16807  2  1 64 32  0
 2 15 825576 277992 141724 5446956   36    0  9380 20799 4541 16367  2  1 69 27  0
 1 15 825544 278480 141724 5446796   48    0  9472 20645 5995 17278  2  1 63 34  0
 4 15 825480 278340 141732 5446844   48    0 10560 20775 4816 18210  2  1 62 35  0
 2 15 825456 278464 141732 5446772   60    0 11100 21354 5214 19546  2  1 65 32  0
 1 15 825400 277768 141732 5446760   76    0  9452 20809 5883 17185  2  1 66 31  0
 1 15 825344 277988 141732 5446764   76    0  9932 20903 4958 17267  2  1 61 36  0
 0 16 825332 276408 141732 5446764   32    0  9392 20638 5340 16288  2  1 61 36  0
 2 15 825300 276596 141740 5446820   52    0  8900 20881 5399 16046  2  1 58 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 15 825288 275444 141740 5446796   24    0  9224 20873 5250 16439  2  1 64 33  0
 0 16 825244 277612 141740 5446868   20    0 11252 21059 6083 19005  3  1 59 37  0
 0 16 825208 275840 141740 5446888   52    0  9652 20863 5338 16570  2  1 55 42  0
 2 17 825180 274468 141740 5446952   56    0 10856 21134 6581 18327  3  1 57 40  0
 0 16 825144 275712 141748 5446840   40    0  9928 20520 5155 16556  2  1 59 37  0
 0 16 825124 274148 141748 5446848   36    0  7524 21487 5612 13960  2  1 56 41  0
 2 16 825088 275016 141748 5446916   20    0  9716 20918 5550 16470  2  1 59 37  0
 1 15 825048 275864 141752 5446928   48    0  8064 20823 5643 15413  2  1 53 44  0
 1 15 825044 274004 141752 5446956   16    0 10144 20801 5526 18012  2  1 57 39  0
 0 16 825016 273588 141760 5446960   68    0 10772 20672 4442 17998  2  1 58 38  0
 1 15 824980 274668 141760 5447012   48    0  7936 21133 5629 14527  2  1 58 39  0
 1 15 824948 274392 141760 5447064   32    0  8848 21117 6416 16078  2  1 58 39  0
 1 15 824924 274392 141760 5447116   28    0  9164 20629 5032 16251  2  1 58 38  0
