procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 753148 320768 154332 5407404    6    7   245   667    1    4  2  1 82 15  0
 1 14 752776 314772 154332 5320432  400    0  6612  6330 12030 37732  5  4 56 34  0
 1 12 752652 309180 154340 5320676  100    0 12308 11738 5048 14430  2  1 61 35  0
 2 14 752628 304776 154340 5321304    4    0 11764 15604 6251 18081  3  3 57 37  0
 2 15 752580 303492 154340 5321780    0    0 11456 19597 6255 20759  2  2 60 35  0
 2 15 752572 300056 154340 5322700    0    0 12160 22395 6832 21609  3  2 59 36  0
 2 17 752564 299892 154368 5323132    0    0 11052 25446 7218 22026  3  2 59 36  0
 1 14 752552 297168 154376 5324048    0    0 10704 26328 6724 20163  3  2 61 34  0
 1 16 752552 291092 154376 5324680    0    0 10496 28555 7598 21324  3  3 56 38  0
 2 16 752552 291512 154376 5325320    0    0  6304 25867 5624 15180  2  3 54 40  0
 0 16 752552 290712 154376 5325828    0    0  6320 26241 5219 15163  2  1 65 32  0
 0 19 752552 289132 154376 5326108    0    0  5712 25221 5819 14235  2  3 66 30  0
 1 17 752552 288756 154376 5326564    0    0  6304 26356 5868 15354  2  1 64 33  0
 2 13 752548 287860 154384 5327196    0    0  5536 25078 5103 13182  1  1 69 28  0
 0 19 752548 285016 154384 5327604    0    0  5472 25677 6110 13858  2  2 66 30  0
 1 17 752544 286228 154384 5328044    0    0  4544 24110 5336 11912  2  2 69 27  0
 0 15 752544 286672 154384 5328380    0    0  7600 27228 6745 17550  3  2 63 32  0
 0 17 752544 284912 154384 5328968    0    0  3840 24135 5122 12245  1  1 63 36  0
 1 18 752540 285672 154392 5329288    0    0  3968 23630 4867 12006  1  1 66 32  0
 0 17 752540 286680 154408 5329556   48    0  6144 24630 5009 15047  2  1 63 34  0
 1 17 752536 283000 154408 5330252    0    0  7552 26292 6870 16853  2  3 60 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
