procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 733352 841200 148208 5417548    6    7   250   664    6    2  2  1 82 16  0
 1 16 733348 819484 148344 5423088   16    0  9336 54686 23518 58732  6  4 57 33  0
 2 10 733340 810044 148344 5428372    0    0  8736 57741 21868 53966  3  3 59 34  0
 0 14 733336 801848 148344 5434540    0    0  8432 58352 22256 57301  3  4 61 32  0
 0 16 733332 795696 148344 5440752    0    0  9040 59584 21949 58315  3  4 58 35  0
 1 13 733332 788408 148352 5446580    0    0  8608 56487 22078 54138  3  4 58 35  0
 1 14 733332 781464 148352 5453008    0    0  8896 60658 21759 58719  4  3 59 34  0
 0 15 733332 775820 148352 5458996    0    0  9056 58634 21116 56769  4  4 58 35  0
 5  9 733328 769836 148352 5465652    0    0  8352 59761 21382 57300  4  3 59 34  0
 0 15 733328 786060 148352 5471032    0    0  7760 52595 19266 49281  3  4 57 36  0
 5 12 733328 774068 148360 5477416    0    0  8800 58356 21646 56359  3  3 60 34  0
 6 13 733328 768072 148360 5482252    0    0  6480 50144 17565 46984  3  3 58 36  0
 2 13 733328 762284 148360 5487440    0    0  7328 52854 18554 48500  3  3 56 38  0
 1 15 733328 754964 148360 5494328    0    0  8944 58219 20444 54986  3  3 57 36  0
 1 15 733328 745912 148360 5499204    0    0  8960 57193 22173 54612  3  4 58 35  0
 3 15 733328 739344 148360 5504680    0    0  7216 51054 17898 46887  3  3 61 34  0
 1 14 733328 734172 148368 5509764    0    0  7696 53842 18715 49512  3  3 60 35  0
 0 14 733328 728272 148368 5514616    0    0  7504 51231 18605 47682  3  3 59 36  0
 5 13 733328 721504 148368 5519476    0    0  7840 54934 21591 52827  3  4 57 35  0
 1 16 733328 716808 148368 5524252    0    0  6848 48815 16716 46374  3  4 58 34  0
 4 15 733328 711960 148368 5529168    0    0  7888 55233 18525 51058  3  4 57 36  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 13 733324 706472 148376 5534808    0    0  7040 53723 18145 50359  3  4 56 38  0
 3 14 733324 701016 148376 5539692    0    0  7824 56314 19973 53479  3  3 58 36  0
 4 11 733324 694732 148376 5544968    0    0  7856 55992 21981 54270  3  4 58 34  0
 0 19 733320 687196 148376 5552536    0    0  7744 57401 19356 52700  3  3 57 37  0
 0 17 733316 681724 148376 5557224    0    0  6928 48727 17599 44698  3  3 57 38  0
 0 14 733312 675228 148384 5563084    0    0  7968 55333 19689 52504  3  4 59 34  0
 2 15 733312 670872 148384 5568440    0    0  7840 54921 20783 51459  3  3 60 34  0
 4 11 733312 665672 148384 5573096    0    0  6912 51413 17572 47893  3  4 59 34  0
 4 12 733312 660372 148384 5577964    0    0  7120 51863 18231 47977  3  3 55 39  0
 2 14 733312 655656 148384 5582952    0    0  8032 57461 22673 57618  3  3 57 36  0
 2 13 733312 649184 148400 5588496    0    0  7736 61702 19609 53056  3  3 57 37  0
 0 16 733312 645048 148400 5593260    0    0  7072 60516 19774 51454  3  4 59 35  0
 2 15 733312 639428 148400 5598128    0    0  6848 56918 18378 47167  3  3 59 35  0
 2 17 733312 634964 148400 5603668    0    0  6896 55423 18174 45239  3  3 58 37  0
 0 15 733308 629896 148400 5608548    0    0  7504 60326 19796 51548  3  4 56 37  0
 1 16 733308 623076 148408 5614424    0    0  7872 59836 18756 49854  3  4 56 36  0
 3  8 733308 618296 148408 5619288    0    0  6864 56838 19792 46866  3  4 58 35  0
 5 11 733304 612420 148408 5624060    0    0  7024 55584 16892 44573  3  3 59 36  0
 1 14 733296 607924 148408 5628560    4    0  7220 59787 18617 51389  3  4 57 35  0
 1 15 733292 602196 148408 5634504    0    0  7280 58608 18215 48072  3  4 57 37  0
 1 17 733284 597816 148416 5638944    0    0  7216 59590 20516 51580  3  4 55 37  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 14 733280 591900 148416 5644700    0    0  7408 59252 19272 50017  3  3 60 34  0
 0 13 733280 587136 148416 5649752    0    0  6608 55913 17546 44943  3  3 55 39  0
 2 15 733276 581384 148416 5655000    0    0  7648 61120 21404 53889  3  3 58 36  0
 2 13 733276 573448 148416 5663060    0    0  7824 63837 19766 53398  3  3 60 34  0
 9  9 733276 568524 148424 5667840    0    0  7136 57186 18354 48215  3  3 60 34  0
 2 13 733268 563480 148424 5672844    4    0  7316 57456 20218 47995  3  2 60 35  0
 2 17 733268 559404 148424 5676688    0    0  6720 55356 18287 46854  3  3 58 36  0
 1 14 733264 551844 148424 5682620    0    0  7632 61016 19510 52574  4  4 58 35  0
 0 19 733264 545096 148424 5688704    0    0  7680 60304 20092 51646  3  4 59 34  0
 1 16 733264 539668 148432 5694028    0    0  6560 54249 18799 44280  3  3 60 34  0
 2 13 733264 534168 148432 5699368    0    0  7152 60116 19693 49436  4  3 56 38  0
 3 14 733260 528992 148432 5704212    0    0  7312 57197 19096 48872  3  3 56 38  0
 3 14 733256 524904 148432 5709208    0    0  6992 56221 17517 46183  3  4 56 37  0
 3 11 733256 521836 148432 5714420    0    0  7664 56816 17458 47287  3  3 58 36  0
 3 13 733256 517516 148440 5719036    0    0  7008 55769 16935 46339  3  2 61 34  0
 0 16 733252 513228 148440 5723164    8    0  5768 48462 15290 37421  3  3 60 35  0
 3 14 733252 508944 148444 5727068    0    0  6992 55193 17650 45263  3  4 57 36  0
 4 12 733252 503492 148444 5732532    0    0  7008 57163 19003 47493  3  4 56 37  0
 2 15 733244 497424 148444 5737696    0    0  6992 58930 18279 49722  3  4 57 36  0
 2 16 733244 491336 148452 5742104    0    0  7360 62886 20210 49974  3  4 56 37  0
 1 16 733240 485388 148452 5747508    0    0  6832 61759 18698 47076  3  4 54 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 15 733240 482380 148452 5751364    0    0  6656 60745 19605 48046  3  5 57 35  0
 1 15 733240 479308 148452 5755048    0    0  6768 59051 18337 46743  3  4 55 38  0
 3 12 733240 473108 148452 5759536    0    0  7520 64448 19545 50726  3  4 59 34  0
 1 16 733236 467612 148460 5766828    0    0  6560 61880 17985 44910  3  3 60 35  0
 3 12 733236 463292 148460 5771180    0    0  6880 58285 18987 46324  3  3 57 37  0
 2 15 733232 459284 148460 5775412    0    0  6720 60491 18329 47030  3  3 59 35  0
 1 13 733232 453712 148460 5780580    0    0  7936 65635 20162 53531  3  4 56 37  0
 5 12 733232 448300 148460 5785956    0    0  6592 61968 19111 48405  3  4 56 37  0
 1 15 733232 444700 148468 5789360    0    0  6864 58330 17317 45071  3  5 56 36  0
 2 16 733228 438620 148468 5795028    0    0  6576 60471 18604 46616  3  3 58 35  0
 3 12 733228 434712 148468 5799112    0    0  7200 61980 19041 48512  3  3 58 35  0
 3 11 733224 427464 148468 5805008    0    0  7856 65621 20460 52595  4  4 56 36  0
 3 14 733224 422508 148468 5811076    0    0  6608 63978 19295 49494  3  3 57 36  0
 2 11 733224 416696 148476 5816900    0    0  6032 57811 17676 43577  3  3 58 36  0
 4 13 733220 412156 148476 5821752    8    0  6872 57798 17976 43177  3  2 54 41  0
 1 17 733212 405908 148476 5827340    0    0  6912 60222 17749 45523  3  3 58 36  0
 7 11 733208 401476 148476 5831680    0    0  6928 60943 18091 47919  3  3 58 36  0
 1 14 733208 397612 148476 5836872    0    0  6768 61807 19031 47238  3  3 57 37  0
 1 15 733208 392348 148484 5841528    0    0  5680 55301 16311 40372  3  2 56 39  0
 5 15 733208 388820 148484 5845780    0    0  7168 60002 19324 47451  3  4 61 32  0
 1 15 733192 383092 148484 5850492    0    0  7312 61898 19492 47843  3  3 58 37  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 14 733188 378380 148484 5855608    8    0  6024 61309 19010 46625  3  4 59 35  0
 5  8 733184 375200 148484 5859488    0    0  6912 61259 19066 47940  3  3 59 35  0
 2 16 733176 369396 148492 5865168    0    0  7424 61335 18865 46949  3  4 57 37  0
 2 16 733176 364472 148492 5869692    0    0  6720 60968 18083 47052  3  4 58 35  0
 4  9 733168 357796 148492 5876264    0    0  6528 61132 17725 44461  3  3 58 36  0
 2 14 733164 353692 148492 5881120    0    0  7104 60179 18852 47727  3  4 55 38  0
 1 17 733164 349732 148492 5885256    0    0  7168 63055 18947 50790  3  4 60 33  0
 2 11 733160 343716 148500 5891036    0    0  7392 64989 19829 49571  3  3 57 36  0
 1 14 733160 340440 148500 5895140    0    0  6096 61402 18605 45641  3  3 59 36  0
 2 16 733160 333660 148500 5901240    0    0  6928 65267 19400 50342  3  4 57 36  0
 1 16 733160 328704 148500 5906340    0    0  6192 62240 18471 45674  3  4 59 34  0
 2 13 733160 322576 148500 5912000    0    0  7312 66708 20259 51518  3  3 59 34  0
 6 12 733160 318364 148508 5916356    0    0  5616 56450 16461 39923  3  4 55 38  0
 0 14 733148 313392 148508 5921324   16    0  6704 61437 17544 44832  3  4 56 36  0
 0 17 733144 308300 148508 5926772    0    0  7296 63895 18954 50809  3  3 57 36  0
 1 16 733144 303144 148508 5931040    0    0  5936 62132 18518 45657  3  3 56 39  0
 3 15 733144 299036 148508 5935388    0    0  6496 62086 17535 46995  3  3 56 38  0
 1 12 733144 294284 148516 5940536    0    0  6496 63359 19323 47560  3  4 57 36  0
 4 11 733144 290500 148516 5944188    0    0  7424 66143 19332 52195  3  3 60 35  0
 2 14 733136 286900 148516 5949544    0    0  7200 62730 18711 47021  3  3 56 38  0
 1 14 733132 282392 148516 5954556    0    0  6240 61083 18778 44711  3  4 57 36  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 13 733128 276868 148516 5958840    0    0  6640 63578 19266 47798  3  3 58 36  0
 1 16 733136 297600 148520 5936624    0   12  6880 59514 19741 43842  3  4 56 38  0
 2 14 733124 292652 148520 5941884    0    0  7152 65708 20475 50887  3  4 58 34  0
 1 14 733124 288560 148520 5946448    0    0  7008 60907 18550 46045  3  4 57 36  0
 1 15 733124 284716 148520 5950176    0    0  6368 61200 17885 45662  3  4 57 36  0
 1 12 733120 278020 148520 5956904    0    0  6752 62217 17101 44171  3  3 58 36  0
 1 17 733120 272688 148528 5962520    0    0  6736 61806 18107 45958  3  3 55 38  0
 3 10 733124 298172 148528 5936588    0    4  6720 61378 17291 44812  2  3 58 37  0
 2 15 733120 293612 148528 5941148    0    0  6528 60630 16608 42877  3  3 57 37  0
 3 14 733120 288256 148528 5945624    0    0  6688 66090 19683 49887  3  4 57 36  0
 2 12 733108 282924 148528 5951584    0    0  7104 64753 18622 48685  3  3 55 39  0
 4 15 733108 278544 148536 5955620    0    0  6400 59689 17586 44050  3  4 57 37  0
 0 16 733092 275964 148536 5958616    8    0  5384 55697 15667 38818  2  3 58 37  0
 1 16 733080 269624 148536 5964400    0    0  7392 67829 20000 51510  3  3 56 38  0
 1 15 733072 263052 148536 5970800    0    0  6944 64866 18546 47610  3  2 59 36  0
 0 16 733080 303952 148460 5927428    0    8  6976 61055 18684 44816  2  4 59 35  0
 0 17 733076 298876 148468 5932420    0    0  6304 63911 18219 45907  2  3 59 36  0
 1 15 733072 295320 148468 5936104    0    0  6208 61680 17165 43465  2  3 61 34  0
 3 14 733072 289924 148468 5942316    0    0  7376 68210 19914 52355  3  4 56 37  0
 3 15 733072 284688 148468 5947620    0    0  6832 65252 18486 47735  2  3 57 37  0
 1 17 733068 280936 148468 5953144    0    0  6480 64307 17092 44840  2  2 57 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 14 733064 277352 148476 5958724    0    0  6656 61354 16396 41907  2  3 60 35  0
 1 16 733060 274236 148476 5963380    0    0  6864 66110 19577 50756  3  2 58 37  0
 1 16 733052 270072 148476 5967616    0    0  5504 56253 15609 38165  2  2 60 36  0
 2 18 733052 264800 148476 5972300    0    0  6944 64509 18571 46802  3  3 58 37  0
 2 16 733060 307028 148404 5930400    0    8  5456 58863 16384 39811  3  3 58 36  0
 0 14 733060 301512 148412 5936316    0    0  7520 67788 18960 50456  3  3 54 39  0
 3 15 733060 297280 148412 5941232    0    0  7040 66629 19000 48327  3  3 58 36  0
 2 16 733052 292684 148412 5945368    0    0  6352 59324 16907 41775  3  4 56 37  0
 4 13 733048 285868 148412 5952228    0    0  6608 62220 17629 44849  3  3 60 34  0
 0 15 733048 279216 148412 5958020    0    0  6640 62807 17461 43857  3  3 55 38  0
 1 16 733044 273776 148420 5963368    0    0  7392 66840 19936 51127  4  4 55 37  0
 0 13 733044 268724 148420 5967752    0    0  6688 64578 20262 48211  3  4 56 37  0
 1 15 733028 263268 148420 5972372    0    0  5744 60186 17038 42165  3  4 57 37  0
 1 15 733032 305868 148360 5929204    0    8  7120 62373 17524 44730  3  3 59 35  0
 1 17 733032 300696 148360 5933232    0    0  6480 60847 19180 44136  3  4 56 36  0
 2 14 733032 295112 148368 5938132    0    0  7088 64052 18163 48386  3  3 56 38  0
 1 16 733032 290352 148368 5942532    0    0  6192 61171 16914 43764  3  3 59 36  0
 6 11 733032 285792 148368 5947520    0    0  6528 61003 18328 45062  3  3 59 35  0
 1 11 733028 281452 148368 5951724    0    0  6644 60113 17576 44324  3  3 60 33  0
 3 13 733028 277316 148368 5957472    0    0  7184 63534 18969 47325  3  3 57 37  0
 1 13 733024 272348 148376 5962088    0    0  7024 65757 19882 48984  4  4 59 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 12 733024 267836 148376 5966844    0    0  6032 61241 17609 45037  3  3 58 35  0
 1 15 733024 294772 148328 5938932    8    8  6568 61629 17667 44781  3  3 56 38  0
 2 13 733020 319376 148328 5941244    0    0  6608 61617 18029 43255  3  3 56 37  0
 0 15 733020 306652 148328 5946200    0    0  6944 61900 19748 44804  3  3 59 35  0
 2 11 732996 295444 148336 5954088    0    0  6832 68112 19398 48200  4  4 58 35  0
 2 15 732996 290716 148336 5958252    0    0  6176 59447 16775 41490  3  3 58 37  0
 1 16 732996 285080 148336 5963076    0    0  7712 66947 19395 50474  3  4 57 36  0
 0 15 732996 278940 148336 5968208    0    0  5632 58814 16708 40033  3  2 57 38  0
 0 17 732988 275112 148336 5972672    4    0  6196 62033 17524 45786  4  3 59 34  0
 4 15 732988 271312 148344 5977656    0    0  6736 63385 18254 46876  3  4 61 32  0
 4 15 732984 264216 148344 5983628    0    0  7024 66575 19959 50391  4  3 58 35  0
 1 15 732996 303220 148264 5939792    0   12  6848 62683 19657 45476  4  3 56 36  0
 2 15 732996 299112 148264 5944312    0    0  6352 60803 16690 43190  3  2 58 37  0
 1 16 732996 292460 148264 5949656    0    0  6352 62679 17749 44484  3  3 57 36  0
 1 17 732996 287484 148272 5954408    0    0  7216 66457 18462 49451  3  3 58 36  0
 3 13 732996 281816 148272 5959432    0    0  6752 65589 18647 48799  4  4 56 36  0
 2 16 732992 276968 148272 5964004    0    0  6752 62523 18252 45283  3  4 60 33  0
 0 17 732992 273496 148272 5968816    0    0  5792 60899 17339 43513  2  3 58 36  0
 1 14 732992 269816 148272 5972916    0    0  7360 64924 19007 49441  3  3 57 37  0
 2 13 732992 311104 148224 5931864    8    4  7260 66733 19914 49897  3  3 59 35  0
 1 13 732992 305972 148224 5936392    0    0  6464 62378 16960 43572  3  4 59 34  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 15 732984 301516 148224 5940748    0    0  6224 62483 17962 44402  2  3 56 38  0
 0 18 732976 296592 148228 5946320    0    0  6736 64374 18609 47166  3  4 54 39  0
 1 17 732976 292208 148228 5950852    0    0  7024 65398 19250 49134  3  3 58 36  0
 2 14 732968 285512 148236 5957396    0    0  5584 64331 18097 44660  3  4 59 35  0
 1 12 732964 281088 148236 5962048    0    0  7136 63560 17184 46263  2  2 58 37  0
 1 14 732964 276632 148236 5967056    0    0  6832 66834 19283 48656  3  2 59 35  0
 5 11 732964 271036 148236 5973180    0    0  6608 64295 17664 44215  3  4 58 36  0
 2 15 732964 267280 148236 5977652    0    0  6016 60593 16946 43328  3  4 56 37  0
 2 13 732968 308992 148172 5935172    0    4  6688 63633 17896 45760  3  3 57 37  0
 1 16 732968 305564 148172 5938592    0    0  5088 56448 15764 37373  3  3 60 34  0
 2 13 732968 299652 148172 5942252    0    0  5984 63014 19194 45453  3  4 57 36  0
 0 12 732960 294356 148172 5946540    0    0  7140 64723 17978 48119  3  2 60 35  0
 5 14 732960 289604 148172 5951292    0    0  6160 60680 16068 42602  3  4 54 40  0
 3 14 732944 283900 148180 5956360    0    0  5920 59992 16123 41457  3  3 56 38  0
 2 13 732940 278452 148180 5961440    0    0  7152 64989 18313 47464  3  3 59 36  0
 0 13 732940 274652 148180 5966084    0    0  6336 61851 17285 42391  3  3 57 37  0
 1 14 732940 270032 148180 5972416    0    0  6144 62288 16191 41655  3  2 59 36  0
 1 14 732940 266144 148180 5976636    0    0  5888 61046 16174 42660  2  3 59 35  0
 2 13 732940 307684 148124 5934424    0    0  6800 64136 18305 46171  3  3 58 36  0
 0 13 732936 303028 148124 5939172    0    0  6496 61360 16214 41737  3  3 59 36  0
 4 12 732936 298284 148124 5943704    0    0  6576 61607 16209 43064  3  2 60 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 11 732932 293232 148124 5948512    0    0  6448 62869 17070 43437  3  3 60 34  0
 2 14 732932 288228 148124 5953460    0    0  6976 62323 17240 43413  2  4 57 37  0
 3 14 732920 283444 148132 5958500    0    0  7120 65320 18740 48223  3  3 57 38  0
 2 16 732912 275228 148132 5966908    0    0  6816 63411 17423 44659  2  3 58 37  0
 1 17 732912 269736 148132 5973120    0    0  5936 62639 18015 43108  3  3 57 38  0
 2 15 732912 310108 148052 5931512    0    0  7344 67934 20601 53360  3  4 58 34  0
 1 14 732900 306172 148052 5936344    0    0  7072 63199 18516 46666  3  3 59 35  0
 1 18 732896 300824 148060 5941708    0    0  6752 64184 18125 45359  3  4 55 38  0
 3 16 732896 292328 148060 5946504    0    0  6064 62308 18061 45182  3  3 58 36  0
 1 12 732892 289404 148060 5950764    0    0  6064 59685 16816 40907  3  4 56 37  0
 3 17 732888 283960 148060 5956132    0    0  6304 62363 17854 43051  2  2 57 39  0
 2 13 732876 278676 148060 5961284    0    0  6528 62561 17169 43971  3  4 57 36  0
 6 15 732876 273236 148068 5966480    0    0  6800 67130 19772 49828  3  4 57 36  0
 2 17 732876 269696 148068 5970396    0    0  6448 63055 18511 46247  3  3 61 33  0
 2 17 732876 264264 148068 5976588    0    0  6400 62477 17571 43313  3  4 57 37  0
 0 16 732876 305848 148000 5934012    8    4  7592 69090 20811 51168  3  4 58 34  0
 3 17 732872 301836 148000 5938240    0    0  6144 60764 16848 41972  3  4 55 38  0
 0 15 732868 295548 148016 5942668    0    0  6740 63537 19819 45757  2  3 60 35  0
 2 16 732868 290760 148016 5947692    0    0  6160 63952 17865 44846  3  3 61 34  0
 4 12 732868 285548 148016 5952752    0    0  7392 67954 19117 50244  3  3 57 38  0
 3 11 732868 281140 148016 5958092    0    0  6688 64684 19330 48283  3  3 55 40  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 12 732868 275652 148016 5963100    0    0  6144 61815 16974 42233  2  3 58 36  0
 1 16 732864 272456 148024 5967680    0    0  6368 61550 17286 43281  3  3 58 36  0
