procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 142840 2619432 169156 1232280    0    0  1124   266    1    2  1  2 77 20  0
 0 16 142836 2537028 169168 1240368    0    0 30024     0 11351 41753  5  3 53 39  0
 1 16 142836 2548824 169168 1235388    0    0 148872     0 8931 63667  1  3 54 41  0
 2 14 142836 2536384 169168 1242628    0    0 28736     0 4172 22530  2  1 59 39  0
 1 16 142836 2548988 169168 1237340    0    0 145028     0 8993 61474  1  3 51 44  0
 1 16 142836 2534368 169168 1244416    0    0 26736     0 3357 18295  1  1 54 44  0
 1 15 142836 2550860 169172 1237648    0    0 145708    44 8435 59776  1  3 55 41  0
 1 15 142836 2534056 169172 1246712    0    0 26384     0 3230 17810  1  1 56 42  0
 0 16 142836 2551988 169172 1238112    0    0 147712     0 9127 62157  1  4 51 44  0
 0 16 142836 2563404 169172 1232768    0    0 144312     0 7726 56540  0  4 62 34  0
 0 16 142836 2546756 169172 1240572    0    0 24552     0 2249 13304  1  0 64 35  0
 0 16 142836 2548348 169176 1234800    0    0 146180    24 8850 60386  1  4 54 41  0
 0 16 142836 2530500 169176 1242040    0    0 24360     0 2624 13980  1  1 53 45  0
 1 16 142836 2537172 169176 1237124    0    0 145988    16 8547 56919  1  3 64 32  0
 1 16 142836 2519008 169176 1246108    0    0 25272     0 2605 14836  1  1 65 34  0
 0 16 142836 2539580 169176 1237844    0    0 142464     0 8056 58163  0  3 59 37  0
 0 16 142836 2553084 169176 1231956    0    0 144824    44 7839 57942  0  4 58 38  0
 0 16 142836 2536664 169176 1240492    0    0 24152     0 2200 12897  1  1 58 40  0
 0 16 142836 2551636 169176 1233692    0    0 144704    40 8285 58804  1  3 58 38  0
 0 16 142836 2535240 169176 1241092    0    0 24640     0 2531 13523  1  1 65 33  0
 0 16 142836 2543244 169176 1234388    0    0 147672     0 9045 64523  1  4 63 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 142836 2525796 169180 1243620    0    0 24560    28 2468 14110  1  1 65 34  0
 1 15 142836 2537360 169180 1239308    0    0 148064     0 8556 60414  0  3 59 37  0
 0 16 142836 2546180 169180 1235108    0    0 144768     0 8020 57913  0  3 60 36  0
 0 16 142836 2530868 169180 1242584    0    0 22896     0 2058 10491  1  1 59 40  0
 0 16 142836 2535312 169180 1237752    0    0 144120     0 8306 56098  1  3 60 36  0
 1 15 142836 2519516 169184 1244740    0    0 25904    20 3184 16427  1  1 66 32  0
 0 16 142836 2534748 169184 1237680    0    0 144936     0 8483 61831  0  4 63 33  0
 0 16 142836 2543008 169184 1234840    0    0 144272     0 8015 57161  0  4 62 35  0
 0 16 142836 2526964 169184 1242336    0    0 23224     0 1943 10758  1  1 64 35  0
 0 16 142836 2542908 169184 1235064    0    0 143400     0 8174 60699  0  3 62 34  0
 0 16 142836 2526752 169192 1242060    0    0 24088    20 2186 12117  1  0 59 40  0
 2 14 142836 2524272 169192 1239052    0    0 145168     0 9211 61352  1  3 55 41  0
 1 15 142836 2509340 169192 1246452    0    0 24312   260 2463 13550  1  1 56 42  0
 0 16 142836 2530108 169192 1237992    0    0 146064     0 8642 62316  1  4 59 37  0
 0 16 142836 2541740 169192 1233428    0    0 141888     0 7605 54339  0  3 64 33  0
 2 14 142836 2524336 169200 1241180    0    0 23328    56 1952 11339  1  0 63 35  0
 0 16 142836 2535200 169200 1236928    0    0 146992     0 8821 61415  1  3 59 38  0
 1 15 142836 2519736 169200 1242964    0    0 25552     0 2953 15803  1  1 59 39  0
 0 16 142836 2533084 169200 1238312    0    0 145304     0 8234 59111  1  3 60 36  0
 2 14 142836 2514740 169200 1246920    0    0 23840     0 2167 12022  1  1 62 36  0
 0 16 142836 2527940 169208 1240944    0    0 145304    28 8561 60947  1  3 56 40  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 16 142836 2541856 169208 1235976    0    0 141600     0 7806 54882  0  3 60 37  0
