procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  1  76428 2180320 240936 2065852    0    0  1081   282    6    1  1  2 78 19  0
 0 12  76428 2060028 240936 2066280    0    0 11952     0 38560 53703  6  4 59 32  0
 1 19  76428 2034416 240936 2066248    0    0 12548     0 5813 23716  2  2 51 45  0
 0 19  76428 2027740 240936 2066236    0    0 13440     0 5609 24704  1  1 58 39  0
 0 20  76428 2023872 240936 2066192    0    0 13580     0 5737 23984  2  1 60 38  0
 0 20  76428 2022324 240936 2066168    0    0 13808    49 5228 25930  2  1 55 43  0
 1 18  76428 2019520 240936 2066184    0    0 18068     3 5722 28791  1  1 57 41  0
 0 21  76428 2020088 240936 2066156    0    0 13480     0 5668 26405  2  1 52 45  0
 2 18  76428 2019112 240936 2066136    0    0 13536     0 5432 26333  2  1 52 45  0
 2 19  76428 2017384 240936 2066144    0    0 12532     0 4991 24634  2  2 46 51  0
 0 20  76428 2016160 240936 2066124    0    0 14416     0 5452 27767  2  1 45 52  0
 2 18  76428 2015336 240936 2066008    0    0 17900    24 5945 28954  2  1 52 45  0
 2 18  76428 2013896 240936 2066056    0    0 14524     0 6105 29817  2  1 56 41  0
 0 21  76428 2012516 240936 2066060    0    0 14072     0 5845 28774  2  1 51 46  0
 1 19  76428 2011356 240936 2066072    0    0 12760     0 4740 25306  2  1 50 47  0
 1 18  76428 2008800 240936 2066084    0    0 13196     0 4609 25291  2  1 54 43  0
 1 17  76428 2008172 240940 2065904    0    0 19368    24 5810 30828  2  1 57 40  0
 0 21  76428 2010660 240940 2065872    0    0 13244     0 5179 27271  2  1 58 39  0
 1 19  76428 2010092 240940 2065952    0    0 14848     0 5958 29809  2  1 54 42  0
 0 18  76428 2008108 240940 2065900    0    0 13780     0 5412 27390  2  1 53 44  0
 1 18  76428 2007044 240940 2065908    0    0 12648     0 4900 26925  2  1 60 37  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3 16  76428 2004504 240940 2065896    0    0 19660    24 6122 32251  2  1 57 39  0
 0 21  76428 2005056 240940 2065596    0    0 13584     0 5012 26766  2  2 55 41  0
 0 20  76428 2003180 240940 2065632    0    0 14800     0 6028 30011  2  1 58 38  0
 0 18  76428 2002496 240940 2065640    0    0 13392     0 5545 28168  2  1 60 37  0
 1 19  76428 2002828 240940 2065680    0    0 13036     0 5211 27748  2  1 59 38  0
 1 17  76428 2003148 240944 2065792    0    0 19064    24 5745 30602  2  1 56 40  0
 2 19  76428 2004912 240944 2065820    0    0 12944     0 4957 26352  2  1 59 38  0
