procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  8 133812 1295932 227160 2162948    0    0  1091   274    6    5  1  2 78 19  0
 0  9 133808 1308804 227160 2130056    0    0 88896     0 5742 39242  1  2 62 34  0
 0 21 133808 1333036 227160 2102684    0    0 251172     0 9373 43411  1  5 61 32  0
 1  9 133808 1330068 227160 2102696    0    0 17236     0 2057 10596  1  2 62 35  0
 0 23 133808 1571724 227160 2109152    0    0 252692     0 14756 58262  1  9 51 39  0
 1 11 133808 1590756 227160 2099704    0    0 84028     0 6083 26612  0  2 54 44  0
 0 25 133808 1567688 227164 2088940    0    0 218012    48 12824 65379  1  5 50 43  0
 0 19 133808 1596908 227164 2057632    0    0 161292     0 11752 57622  0  3 46 51  0
 1 19 133808 1638096 227164 2020292    0    0 165168     0 11860 67262  0  4 51 44  0
 0 21 133808 1633768 227164 2010728    0    0 68096     0 8483 48155  0  2 53 44  0
 2 12 133808 1810108 227164 2032680    0    0 258036     0 13557 71985  2  8 50 41  0
 6 23 133808 1826432 227164 2005492    0    0 180056    24 11504 58289  1  5 51 42  0
 1 22 133808 1853980 227164 1973888    0    0 160564     9 10303 58170  1  6 41 51  0
 3 16 133808 1930544 227164 1971468    0    0 155584     3 8979 43963  1  6 41 52  0
 1 22 133808 1971444 227164 1957936    0    0 160556     0 10350 46506  1  6 53 40  0
 0 22 133808 1983296 227164 1951396    0    0 94596     0 8739 50597  0  2 49 48  0
 1 12 133804 2036804 227164 1975304    0    0 36744    28 7307 40058  1  2 54 42  0
 5 16 133804 2009120 227164 1963392    0    0 241744     0 11713 62014  2  7 52 39  0
 2 22 133804 1975600 227164 1963532    0    0 122724     0 10908 62943  1  6 40 53  0
 0 23 133804 1965860 227164 1965668    0    0 116080     0 7218 35921  1  4 52 43  0
 0 24 133804 2026836 227164 1974060    0    0 184892     0 11219 57971  0  4 51 44  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  8 133804 2023484 227164 1962328    0    0 67780    28 4277 17805  1  3 61 35  0
 1 21 133804 2003968 227164 1957800    0    0 112676     0 8276 49274  1  6 53 40  0
 1 23 133804 1967988 227164 2000836    0    0 185032     0 12366 59601  1  7 39 53  0
 1 17 133804 1946776 227164 1997788    0    0 99216     0 8935 33833  1  5 50 44  0
 1 18 133804 1939152 227164 1976800    0    0 180648     0 13050 72551  1  7 40 51  0
 0 20 133804 2005692 227168 1984712    0    0 125588    20 10263 44219  1  5 51 43  0
 0 20 133804 1994132 227168 1982788    0    0 131968     0 8070 35935  0  2 49 50  0
 0 20 133804 1987288 227168 1962192    0    0 176820     0 9308 50409  0  2 43 55  0
 1 23 133804 1951192 227168 1966680    0    0 82976     0 7603 51813  0  3 53 44  0
 2 13 133804 1990112 227168 1985884    0    0 117104     0 6530 29147  1  4 39 57  0
 1 18 133804 1962244 227168 1967208    0    0 195052    20 11717 57702  2  6 48 44  0
 1 22 133804 1953472 227168 1960484    0    0 200412     0 13809 79911  1  7 49 42  0
 0 18 133804 2014524 227168 1970948    0    0 137656   248 10407 51434  0  4 51 44  0
 3 19 133804 2012036 227168 1955096    0    0 79464     0 3942 21527  0  1 64 34  0
 0 25 133804 1968072 227168 1955256    0    0 151464     0 10019 69217  0  3 40 56  0
46  7 133804 2026188 227168 1990684    0    0 96164    56 9921 52083  1  5 49 45  0
 2 23 133804 1933660 227168 2001892    0    0 176728     0 11961 46801  1  7 46 46  0
 0 17 133804 1936108 227168 1982868    0    0 120980    60 8002 36359  1  3 55 42  0
 0 23 133804 1942788 227168 1954228    0    0 150172     0 11121 74246  0  4 65 31  0
 0 19 133804 1936016 227168 1950824    0    0 74140     0 4679 25700  0  1 52 47  0
 1 20 133804 1958416 227168 1963040    0    0 164548    24 11384 58844  0  3 56 40  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 25 133804 1950260 227168 1957160    0    0 151724     0 12330 66466  0  3 51 45  0
 1  7 133804 2020808 227168 1959860    0    0 28640    16 5713 28430  1  3 64 32  0
 1 19 133784 2001532 227168 1959916   16    0 197224     0 12317 51984  2  7 58 34  0
 4 24 133784 1980796 227168 1950444    0    0 66756     0 3558 21135  1  2 63 34  0
 1 23 133776 1964576 227172 1950328    0    0 154528    44 11363 69978  1  5 43 51  0
 1 19 133776 2025848 227172 1958184    0    0 104172     0 7902 34561  2  6 48 45  0
 1 17 133776 2022544 227172 1941088    0    0 151272    12 10171 43654  1  5 56 38  0
 3 26 133748 1994268 227176 1941960   72    0 73936     0 5657 40928  1  5 64 30  0
